predicted,actual
3293.91,4815
57081.0,57081
7161.47,7081
69927.0,70431
5378.45,5103
11041.0,9141
4936.61,3862
17588.78,15092
56142.41,56058
55377.0,55377
6294.0,6294
24234.0,24234
2607.61,2612
4449.2,4453
51595.0,51595
63397.4,56991
73531.61,79705
3765.76,4011
41281.0,41281
54608.0,54608
4963.25,4453
13782.96,14839
8267.1,7918
4500.0,4500
3812.2,3209
3961.0,3961
5102.0,5102
17719.39,13988
6413.540666666667,6213
69168.0,69168
6755.38,5220
4127.44,4038
12807.55,11415
50771.08,51117
51817.0,51817
25470.0,25470
39783.0,39783
12353.06,11319
2507.0,2621
11754.13,9828
4584.6,3938
14857.04,15750
53164.0,53164
42534.43333333334,36712
62572.32,70400
6177.39,6356
2201.0,2201
7676.24,7958
5000.3,4827
7588.04,10301
5413.27,4979
4111.0,4111
5018.0,5018
52805.76,45776
2821.55,2410
8688.37,9867
63979.0,63979
6023.49,5943
6271.0,6271
4364.99,3729
5949.0,5949
58512.25,58315
4022.29,3998
8638.83,8836
6109.0,6109
3890.7,3397
63365.66,60260
5274.066166666667,4455
6176.848238095238,6843
4213.4,4543
77556.6,84075
5997.25,6009
6068.76,6287
2814.97,2821
23668.71,21316
54715.7,53440
4661.69,4354
3892.51,3905
60232.0,68184
70081.06,69244
6408.55,6395
54893.27,51817
54608.0,54608
2670.3,2327
2074.0,2074
2809.75,2271
12542.34,13695
12722.45,13014
6555.54,6568
4945.263333333333,6164
51403.4,39377
39578.41,39499
7435.67,7412
5843.91,5880
12229.24,12454
6049.19,5934
8147.91,5579
7398.83,7484
6333.21,6444
37412.44,35490
61597.38,60978
11084.584333333334,13212
69006.47,61933
59021.0,59021
11372.16,11205
6507.52,6510
4456.47,4229
5520.15,4387
6498.6,5456
4760.345,5282
57920.0,57920
4011.84,4007
3820.25,3153
56571.03,56588
10968.73,11469
32923.0,32923
51595.0,51595
58315.0,58315
44144.0,44144
66063.0,66063
8728.93,7958
8811.87,7462
9008.91,8988
7001.45,7106
4833.81,3010
4480.26,4554
5190.03,4879
6581.0,6578
6186.38,5574
64924.73,62188
3113.37,3090
5305.89,5293
4917.86,4294
6410.01,6502
4478.3215,4541
16648.731666666663,16203
3899.65,3831
55983.0,55983
54777.0,54777
5288.29,5037
12361.01,11069
54608.0,54608
56162.2,55983
69905.9,67004
5971.55,5934
55377.0,55377
62819.495,60508
3613.19,3519
46437.56,47408
49613.0,49613
48278.4,44280
11469.71,11488
16373.54,13978
51124.57,50969
23838.0,23838
10067.41,9788
57278.81,56588
41269.0,41269
10974.553999999998,10018
4705.54,4721
65635.72,80749
5707.85,3536
2361.0,2361
12610.85,13103
3309.47,3236
4085.27,4028
52544.76,58394
4550.75,3998
8700.926666666666,8719
34019.66,29777
71181.09333333332,52715
2827.16,2723
6908.85,6489
16768.4,13528
6098.86,5927
56588.0,56588
2508.68,2456
79706.89,78550
2422.34,3505
5888.0,5888
10222.11,10703
45672.0,45672
35532.0,35532
4410.53,4359
6623.64,11050
43204.16,42521
12223.8875,8391
7969.9,7950
6474.31,6163
12114.0,12114
58413.4,58111
6458.0,6461
52063.16,69739
3618.82,3393
8386.7,6122
5068.96,5100
60396.0,60396
68193.58083333333,62188
5132.64,7037
6464.5,5912
64546.6,58315
13896.06,15377
61689.92,57920
13902.6,9736
5710.69,6473
10852.98,10660
5517.43,5177
4657.69,4637
3215.36,2132
13029.57,13641
54178.09,53152
3450.6333333333337,4079
5797.84,5790
6861.428166666666,10374
7058.12,7081
28687.28,27976
21027.53,25978
49418.79,47217
59988.07,75785
5325.07,5177
7002.94,7413
4111.0,4111
2451.57,2410
47315.88,45805
2719.49,2203
62977.54,63218
54712.06,80544
4161.56,4165
4154.42,2480
6662.71,7518
50297.0,50297
4513.42,9178
3223.06,3090
49337.47333333333,49177
3655.54,3397
